from_stop_id,to_stop_id,transfer_type,min_transfer_time
7275550,1166840,2,235
7275550,1166841,2,235
7275314,1166835,2,243
7275314,1166834,2,243
1166834,3764615,2,252
1166832,3747837,2,265
1166827,3765300,2,217
1166834,3764616,2,198
4008837,1166841,2,252
4008837,1166840,2,252
1166834,4036767,2,246
1166834,4036769,2,240
1166833,3926299,2,265
1166834,3764812,2,160
1166833,3926298,2,259
1166838,4008206,2,226
7275548,1166840,2,226
1166834,3764811,2,243
7275548,1166841,2,226
3749937,1166841,2,249
3749937,1166840,2,249
4726942,1166833,2,319
3716943,1166839,2,193
3716943,1166838,2,193
7013386,1166825,2,268
7013386,1166824,2,268
3749916,1166841,2,226
6129304,4016331,2,199
1166832,4035992,2,272
1166832,4035991,2,259
1166832,4035990,2,265
4726942,1166832,2,319
3749916,1166840,2,226
6129304,4016332,2,241
1869,1166838,2,180
3343765,1166838,2,180
3343765,1166839,2,180
1869,1166839,2,180
1166840,4473192,2,252
1166840,4473191,2,210
1166840,4473190,2,210
1166840,4016358,2,242
1166840,4016359,2,207
3687087,1166835,2,282
3687087,1166834,2,282
1166832,4035989,2,197
1166825,3765303,2,250
1166832,4035988,2,207
3765193,1166832,2,189
5727702,1166834,2,243
7153046,1166832,2,189
1166825,3765302,2,205
1166840,4036747,2,226
7153046,1166833,2,189
1166827,3887747,2,279
3765193,1166833,2,189
3716945,1166840,2,215
1166840,4036748,2,227
1166840,4036749,2,235
3716945,1166841,2,215
1166841,5657328,2,108
5727702,1166835,2,243
6591847,1166835,2,241
1166835,3764661,2,198
5231611,1166832,2,259
6591847,1166834,2,241
1166835,3764660,2,252
1166834,3764845,2,308
5231611,1166833,2,259
6129305,4016332,2,241
6129305,4016331,2,199
1166832,3764979,2,266
2468,1166840,2,180
2468,1166841,2,180
3765256,1166833,2,216
3893455,1166825,2,243
1166841,3893336,2,187
1166841,3893335,2,187
3764511,1166834,2,282
3764511,1166835,2,282
3893455,1166824,2,243
1166834,7275453,2,197
6217416,1166840,2,210
1166834,7275452,2,270
1166834,7275451,2,199
4471844,1166833,2,189
4471844,1166832,2,189
1166834,7275450,2,243
6217416,1166841,2,210
1166840,3893335,2,187
1166840,3893336,2,187
5675643,1166833,2,259
5675643,1166832,2,259
2068,1166830,2,180
5675644,1166832,2,197
5675644,1166833,2,197
2068,1166831,2,180
4726739,1166835,2,243
4726739,1166834,2,243
3765256,1166832,2,216
6114729,1166835,2,265
5675641,1166832,2,207
6114729,1166834,2,265
1166841,3749689,2,215
