from_stop_id,to_stop_id,transfer_type,min_transfer_time
3687415,2366,2,460
4037207,2144,2,229
4015927,1662797,2,247
4015927,1662798,2,247
1795,2406,2,86
4459240,1724,2,235
4472780,2268,2,260
5761995,2536,2,201
7260987,140079,2,215
5091985,2270,2,192
7275120,2214,2,198
4016112,1872,2,221
3813056,2464,2,242
7260987,140078,2,215
2397,5121998,2,208
3893411,2293,2,239
4726763,1827,2,254
1166840,2469,2,180
1662798,6448957,2,210
1662798,6448958,2,218
4798986,1717,2,205
7691394,2426,2,244
7266072,2270,2,216
1662798,6448956,2,210
3926221,1796,2,275
4036727,2268,2,321
3442436,1827,2,260
4045022,2469,2,225
5150758,2203,2,271
5158081,2469,2,226
6748606,2462,2,213
4017027,2268,2,292
5710072,1874,2,188
4016031,2268,2,321
6456052,1662797,2,218
6456052,1662798,2,218
2144,2544,2,72
7176249,2469,2,254
4016028,1947,2,213
4017013,1874,2,256
3681989,1880,2,214
4036721,1947,2,200
3442432,2366,2,370
5121372,1827,2,226
7376188,2203,2,225
6748619,140079,2,211
4022950,2293,2,224
5761996,1656,2,216
6748619,140078,2,211
5761995,1656,2,201
3812982,2464,2,207
4016357,1858,2,267
3887780,2366,2,403
3687411,2366,2,252
3813056,1719,2,242
4016347,1748,2,244
1662796,6449044,2,192
1662796,6449043,2,209
7013411,1799,2,185
5158083,1724,2,235
4016354,2536,2,189
3740517,1724,2,252
5762010,2268,2,260
7266071,1874,2,188
4009536,2253,2,251
4015728,1947,2,290
3813038,2366,2,418
7176418,2202,2,201
7691418,1872,2,260
4016790,1872,2,292
3764760,2253,2,243
5150757,1948,2,264
2224,5221748,2,274
2224,5221749,2,255
2025,3811241,2,210
4459239,1724,2,226
2025,3811240,2,229
5710014,1874,2,188
4726963,1724,2,200
3687414,1827,2,432
7176283,2270,2,216
7376290,1724,2,254
7275665,2366,2,254
3764738,2469,2,253
7137418,2426,2,254
7676472,1874,2,207
6741645,140079,2,211
6741645,140078,2,211
1824,2366,2,343
1947,4015823,2,188
1947,4015822,2,213
4211783,2214,2,185
3887812,2366,2,418
5158076,1796,2,250
7260974,1716,2,198
3813039,1827,2,389
3926241,2406,2,216
7691395,2426,2,235
3893408,2025,2,210
5657328,2469,2,108
4009642,1724,2,252
3740515,2469,2,108
4037296,1827,2,460
5710073,1874,2,216
4036721,2202,2,200
2203,5122001,2,264
1969,5121771,2,315
5091985,1874,2,192
4016346,1748,2,284
3442435,1827,2,225
1969,5121770,2,307
7336791,1947,2,213
6046775,2224,2,210
5158064,1741,2,270
4726729,2253,2,251
3764996,2366,2,225
4036731,1741,2,234
3740515,1724,2,108
4914774,1692061,2,216
4914774,1692060,2,216
1722,2469,2,108
3764758,2366,2,403
5761996,2536,2,216
4009538,2253,2,251
7275305,2025,2,229
4726761,2366,2,418
7635598,1662798,2,218
7635598,1662797,2,218
2224,5122025,2,255
2224,5122024,2,274
3749911,1820,2,227
7647736,2426,2,234
2224,5370712,2,255
3798504,1662798,2,225
4036748,1724,2,227
3798504,1662797,2,225
4037037,1827,2,396
4022956,1820,2,212
5158072,2536,2,201
1969,5370712,2,255
4036727,1872,2,321
7312151,1969,2,274
3764706,1948,2,225
3764795,1724,2,186
4036829,2009,2,212
3812975,2366,2,370
7176249,1724,2,254
4459239,2469,2,226
1948,5122001,2,264
4211770,1717,2,219
3740333,1796,2,203
3764994,2366,2,370
3926220,1796,2,250
2366,5122007,2,254
2366,5122008,2,233
4726915,2469,2,205
2366,5122006,2,241
7714442,140079,2,204
2224,6000770,2,274
7714442,140078,2,204
6741258,140079,2,211
4037001,2366,2,432
6741258,140078,2,211
7176417,2202,2,201
